Wed Nov 30 03:40:08 2022    output.dat

         3241988 function calls (3236178 primitive calls) in 47.179 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      339    0.001    0.000    0.002    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\GameMap.py:85(colonize)
     1784    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_element.py:763(can_hover)
      165    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
     1784    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:589(set_text_input_hovered)
     2303    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
     5298    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       34    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
     3306    0.001    0.000    0.001    0.000 c:\Users\gusta\Documents\GitHub\war-es2-22-2\classes\Dealer.py:158(<genexpr>)
     1596    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:98(_compare)
      155    0.001    0.000    0.001    0.000 {built-in method winreg.EnumValue}
     3555    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
       66    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      229    0.001    0.000    0.035    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\re.py:288(_compile)
      335    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
     2016    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      471    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\copy.py:259(_reconstruct)
     1568    0.001    0.000    0.001    0.000 {method 'sort' of 'list' objects}
      519    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:321(process_event)
      337    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:429(add)
      176    0.001    0.000    0.001    0.000 C:\Users\gusta\AppData\Local\Programs\Python\Python310\lib\site-packages\pkg_resources\_vendor\packaging\version.py:305(__str__)
     4585    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
     1699    0.001    0.000    0.001    0.000 {built-in method builtins.all}
